Year,Annual_Return,Inflation_Rate,Real_Return
1978,0.010620422212785918,0.07590759075907583,-0.06068101861817743
1979,0.12308814645643174,0.11349693251533721,0.008613597093104275
1980,0.2577356997979632,0.13498622589531695,0.10815062870548675
1981,-0.09730400699458608,0.10315533980582514,-0.18171452339223193
1982,0.14761318553578895,0.06160616061606161,0.0810159436808624
1983,0.1727104194507032,0.032124352331606154,0.13621039635535004
1984,0.014006020250809215,0.0431726907630523,-0.02795958020230427
1985,0.263334081796194,0.03561116458132818,0.21989229645561847
1986,0.14620408731597978,0.018587360594795488,0.12528795433576123
1987,0.020275028695685204,0.03649635036496357,-0.015650148371064376
1988,0.1240084149367906,0.041373239436619746,0.0793521211903585
1989,0.2725046534031901,0.048182586644125225,0.2140104878838498
1990,-0.06559137825727013,0.05403225806451606,-0.11349143767330905
1991,0.2630670304526097,0.0420811017597551,0.21206212099967758
1992,0.04464263175974903,0.03010279001468441,0.014114942592144075
1993,0.07055156263296847,0.029935851746258013,0.03943518503394783
1994,-0.01539291029147316,0.02560553633217988,-0.039974868671510566
1995,0.34110655477087093,0.028340080971660075,0.3041469253086815
1996,0.20263666170303285,0.029527559055118058,0.1681442144266554
1997,0.3100818174657085,0.02294455066921608,0.2806968047375056
1998,0.2666858915596535,0.015576323987538832,0.24725819383634606
1999,0.19526046658878404,0.02208588957055202,0.16943250932756193
2000,-0.10139184665858436,0.03361344537815114,-0.1306148760355409
2001,-0.13042693172742603,0.028455284552845628,-0.15448626563220091
2002,-0.23365963957103564,0.015810276679842028,-0.2455871159979457
2003,0.2638039993281984,0.022790439132851503,0.2356431493431681
2004,0.08993452410946756,0.026630434782608736,0.06166200336761252
2005,0.030010226581274946,0.03388035997882488,-0.0037433087496016038
2006,0.136194317382607,0.032258064516129004,0.10068824496440065
2007,0.035295730663479574,0.028273809523809534,0.006828843713253541
2008,-0.38485793060906714,0.038591413410516084,-0.40771504419535354
2009,0.2345419048834072,-0.0037157454714352722,0.2391462569762126
2010,0.12782713853760175,0.016783216783216703,0.10921100970341868
2011,-3.183666393691276e-05,0.031178358551123386,-0.030266534354845054
2012,0.1340569092662105,0.02089817696754115,0.1108423296775729
2013,0.2960124957332435,0.014808362369338024,0.277100725409239
2014,0.11390633786748117,0.01587982832618029,0.09649419823879635
2015,-0.007265997205823549,0.0012674271229404788,-0.008522622525816259
2016,0.09535022667283655,0.012658227848101333,0.08165834883942602
2017,0.1941996552328793,0.02124999999999999,0.16935094759645475
2018,-0.0623725984962068,0.02447980416156681,-0.08477707642939192
2019,0.2887807022515845,0.01831939466348076,0.26559575414694114
2020,0.16258923055706176,0.012123582323034787,0.14866331628068274
2021,0.2689273866137125,0.047140649149922664,0.21180224227169298
2022,-0.1944282720342927,0.0800738007380073,-0.2541512187266597
2023,0.24230500797629895,0.040997608472839175,0.19337931025488242
2024,0.23309002343424012,0.032162783065310174,0.1946662325609314
